state,agency_nbr,federal_funds,genderal_funds,lottery_funds,other_funds,total
Oregon,,,,,,
Oregon,12000,0,0,0,4626908,4626908
Oregon,10700,994730000,46464185,1039563729,1459900734,3540658648
Oregon,60300,17472153,26229015,10636822,100977767,155315757
Oregon,10900,11312356,0,0,25880078,37192434
Oregon,35000,0,1160612,0,0,1160612
Oregon,58500,15955858,6634036,0,1560451,24150345
Oregon,91500,0,0,0,22384031,22384031
Oregon,44000,183758141,1299319,0,1053911867,1238969327
Oregon,29100,5473702,1853930976,0,315543534,2174948212
Oregon,21300,5337957,79843528,555000,15277589,101014074
Oregon,19600,0,12839916,0,0,12839916
Oregon,58100,1522989232,8617962824,530839727,2483473201,13155264984
Oregon,14600,0,251285958,0,0,251285958
Oregon,47100,261031590,15688586,0,6255892475,6532612651
Oregon,11500,0,2956273,0,2926921,5883194
Oregon,33000,2352380,6334048,3023365,106389046,118098839
Oregon,34000,29542087,58777160,5322214,728411826,822053287
Oregon,63500,145626326,35094508,7640031,260039434,448400299
Oregon,62900,35483984,97448809,2605450,306322094,441860337
Oregon,63200,2902495,2534180,0,7349397,12786072
Oregon,12100,0,16666702,3932736,5057216,25656654
Oregon,83300,0,0,0,11282557,11282557
Oregon,52500,151846937,2184067916,151296014,427090504,2914301371
Oregon,91400,278790653,125968486,21789335,1952491680,2379040154
Oregon,10000,8072349604,3878048515,0,687360225,12637758344
Oregon,42500,0,841105,0,7339,848444
Oregon,19800,1357254,522258473,0,222084850,745700577
Oregon,17500,0,284539,0,0,284539
Oregon,13700,186995478,116789120,0,399753629,703538227
Oregon,83900,1371700,15013956,250000,27720531,44356187
Oregon,66000,7040752,20231675,0,2729883,30002310
Oregon,66200,0,2061858,0,47196,2109054
Oregon,14100,4274393,0,0,1647441099,1651715492
Oregon,15600,0,59088670,0,32152325,91240995
Oregon,15500,0,57068596,0,320407,57389003
Oregon,14200,0,16329031,0,3501634,19830665
Oregon,14500,0,8143531,0,5652560,13796091
Oregon,14300,0,12257100,0,0,12257100
Oregon,14400,0,3169865,0,0,3169865
Oregon,12400,0,0,0,2350686,2350686
Oregon,11400,0,7728112,0,863502,8591614
Oregon,25000,6317622,0,0,32574905,38892527
Oregon,10800,0,0,0,5513422,5513422
Oregon,24800,318358977,36233168,0,150723705,505315850
Oregon,85100,0,0,0,27680612,27680612
Oregon,13100,0,756596,0,13800,770396
Oregon,81100,0,0,0,2522803,2522803
Oregon,83400,0,0,0,4293200,4293200
Oregon,12200,0,0,0,0,0
Oregon,12300,50806090,85412542,133656165,1146581332,1416456129
Oregon,19900,0,0,0,3674736,3674736
Oregon,59000,0,0,0,0,0
Oregon,44300,12790107535,2724947282,17093071,8279850816,23811998704
Oregon,84500,0,0,0,304235337,304235337
Oregon,84700,0,0,0,22831607,22831607
Oregon,41500,40643083,330726201,0,14938594,386307878
Oregon,63400,16685823,0,142480098,163097564,322263485
Oregon,25500,0,8680101,0,45967,8726068
Oregon,85500,0,0,0,10224719,10224719
Oregon,25700,12683972,318475460,10073617,194329469,535562518
Oregon,39900,0,3198150,0,0,3198150
Oregon,40400,0,347092015,0,4061676,351153691
Oregon,45900,0,100000000,0,95433312278,95533312278
Oregon,25900,7690521,9665010,0,86461809,103817340
Oregon,86000,1025117,0,0,127237807,128262924
Oregon,86200,0,0,0,6796564,6796564
Oregon,91900,0,0,0,9871338,9871338
Oregon,15000,0,213103682,0,194136098,407239780
Oregon,16500,7006244,14158129,0,74069768,95234141
Oregon,54300,5225997,4200159,0,8548874,17975030
Oregon,11900,0,0,0,1321216,1321216
Oregon,58400,0,0,0,10586156,10586156
Oregon,73000,134914377,25306026,115592980,5297032958,5572846341
Oregon,17000,0,0,0,104126854,104126854
Oregon,27400,1525000,8352877,20559847,634218556,664656280
Oregon,69000,875519,36722794,7566502,105705185,150870000
Oregon,69100,45304270,0,93114209,19128640,157547119
